analysis_id,representation,method,status,sample_count,feature_count,matrix_rank,estimable_components,explained_variance,missingness_handling,seed,fixed_reference_query_independent,no_forced_PC2,input_roster,audit_status,notes
DISSOCIATIVE_NMDA_CONTEXT__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS_WITH_LIMITATION,4.0,26.0,3.0,2.0,0.9999857507773428,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; PCP",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
DISSOCIATIVE_NMDA_CONTEXT__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS,4.0,5.0,2.0,2.0,1.0,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; PCP",PASS,
DISSOCIATIVE_NMDA_CONTEXT__RMS_PCOA,pairwise_rms,PCOA,PASS,4.0,,2.0,2.0,1.0,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; PCP",PASS,
DISSOCIATIVE_NMDA_CONTEXT__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,4.0,,,2.0,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,20260813.0,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; PCP",PASS,
DISSOCIATIVE_NMDA_CONTEXT__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,4.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; PCP",PASS,
GLOBAL_ALL_COMPARATORS__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,27.0,720.0,26.0,2.0,0.982235998579324,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Bupropion; Chlorpromazine; Clozapine; Dexmedetomidine; Dextromethorphan; Duloxetine; Fluoxetine; Haloperidol; Lamotrigine; Lysergide (LSD); Mirtazapine; Morphine; Olanzapine; PCP; Propofol; Psilocin; Psilocybin; Quetiapine; Risperidone; Scopolamine; Sertraline; Valproate; Venlafaxine; Ziprasidone",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
GLOBAL_ALL_COMPARATORS__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION,PASS_WITH_LIMITATION,25.0,468.0,24.0,2.0,0.975339034924978,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,Aripiprazole; Bupropion; Chlorpromazine; Clozapine; Dexmedetomidine; Dextromethorphan; Duloxetine; Fluoxetine; Haloperidol; Lamotrigine; Lysergide (LSD); Mirtazapine; Morphine; Olanzapine; PCP; Propofol; Psilocin; Psilocybin; Quetiapine; Risperidone; Scopolamine; Sertraline; Valproate; Venlafaxine; Ziprasidone,PASS,EM-SVD did not meet convergence tolerance; point estimate retained
GLOBAL_ALL_COMPARATORS__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS_WITH_LIMITATION,27.0,40.0,26.0,2.0,0.9848227958178728,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Bupropion; Chlorpromazine; Clozapine; Dexmedetomidine; Dextromethorphan; Duloxetine; Fluoxetine; Haloperidol; Lamotrigine; Lysergide (LSD); Mirtazapine; Morphine; Olanzapine; PCP; Propofol; Psilocin; Psilocybin; Quetiapine; Risperidone; Scopolamine; Sertraline; Valproate; Venlafaxine; Ziprasidone",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
GLOBAL_ALL_COMPARATORS__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS_WITH_LIMITATION,27.0,19.0,17.0,2.0,0.9411756442553278,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Bupropion; Chlorpromazine; Clozapine; Dexmedetomidine; Dextromethorphan; Duloxetine; Fluoxetine; Haloperidol; Lamotrigine; Lysergide (LSD); Mirtazapine; Morphine; Olanzapine; PCP; Propofol; Psilocin; Psilocybin; Quetiapine; Risperidone; Scopolamine; Sertraline; Valproate; Venlafaxine; Ziprasidone",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
GLOBAL_ALL_COMPARATORS__RMS_PCOA,pairwise_rms,PCOA,PASS,17.0,,10.0,2.0,0.7971943807106832,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Aripiprazole; Chlorpromazine; Clozapine; Fluoxetine; Haloperidol; Lysergide (LSD); Mirtazapine; Olanzapine; Propofol; Psilocin; Psilocybin; Quetiapine; Risperidone; Sertraline; Valproate; Ziprasidone",PASS,
GLOBAL_ALL_COMPARATORS__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,17.0,,,2.0,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,20260813.0,True,True,"Ketamine, pooled parent; Aripiprazole; Chlorpromazine; Clozapine; Fluoxetine; Haloperidol; Lysergide (LSD); Mirtazapine; Olanzapine; Propofol; Psilocin; Psilocybin; Quetiapine; Risperidone; Sertraline; Valproate; Ziprasidone",PASS,
GLOBAL_ALL_COMPARATORS__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,17.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Aripiprazole; Chlorpromazine; Clozapine; Fluoxetine; Haloperidol; Lysergide (LSD); Mirtazapine; Olanzapine; Propofol; Psilocin; Psilocybin; Quetiapine; Risperidone; Sertraline; Valproate; Ziprasidone",PASS,
HISTORICAL_HISTORECEPTOMIC_CONTROLS__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,8.0,666.0,7.0,2.0,0.9952431178519684,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Chlorpromazine; Clozapine; Duloxetine; Fluoxetine; Venlafaxine",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
HISTORICAL_HISTORECEPTOMIC_CONTROLS__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION,PASS_WITH_LIMITATION,6.0,324.0,5.0,2.0,0.99944484248512,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,Bupropion; Chlorpromazine; Clozapine; Duloxetine; Fluoxetine; Venlafaxine,PASS,EM-SVD did not meet convergence tolerance; point estimate retained
HISTORICAL_HISTORECEPTOMIC_CONTROLS__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS_WITH_LIMITATION,8.0,37.0,7.0,2.0,0.9939333592735556,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Chlorpromazine; Clozapine; Duloxetine; Fluoxetine; Venlafaxine",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
HISTORICAL_HISTORECEPTOMIC_CONTROLS__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS_WITH_LIMITATION,8.0,7.0,6.0,2.0,0.999094348885863,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Chlorpromazine; Clozapine; Duloxetine; Fluoxetine; Venlafaxine",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
HISTORICAL_HISTORECEPTOMIC_CONTROLS__RMS_PCOA,pairwise_rms,PCOA,PASS,8.0,,5.0,2.0,0.9491083305998002,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Chlorpromazine; Clozapine; Duloxetine; Fluoxetine; Venlafaxine",PASS,
HISTORICAL_HISTORECEPTOMIC_CONTROLS__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,8.0,,,2.0,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,20260813.0,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Chlorpromazine; Clozapine; Duloxetine; Fluoxetine; Venlafaxine",PASS,
HISTORICAL_HISTORECEPTOMIC_CONTROLS__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,8.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Chlorpromazine; Clozapine; Duloxetine; Fluoxetine; Venlafaxine",PASS,
MONOAMINERGIC_ANTIDEPRESSANTS__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,7.0,666.0,6.0,2.0,0.9982507830202662,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
MONOAMINERGIC_ANTIDEPRESSANTS__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION,PASS_WITH_LIMITATION,5.0,162.0,4.0,2.0,0.9994171097136132,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine,PASS,EM-SVD did not meet convergence tolerance; point estimate retained
MONOAMINERGIC_ANTIDEPRESSANTS__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS_WITH_LIMITATION,7.0,37.0,6.0,2.0,0.999252788704932,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
MONOAMINERGIC_ANTIDEPRESSANTS__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS_WITH_LIMITATION,7.0,7.0,5.0,2.0,0.9976941688899996,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
MONOAMINERGIC_ANTIDEPRESSANTS__RMS_PCOA,pairwise_rms,PCOA,PASS,7.0,,4.0,2.0,0.9643378322165734,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",PASS,
MONOAMINERGIC_ANTIDEPRESSANTS__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,7.0,,,2.0,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,20260813.0,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",PASS,
MONOAMINERGIC_ANTIDEPRESSANTS__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,7.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",PASS,
MOOD_STABILIZERS__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,4.0,540.0,3.0,2.0,0.999999999953418,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Lamotrigine; Valproate",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
MOOD_STABILIZERS__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_PCA,NOT_ESTIMABLE,4.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Lamotrigine; Valproate",PASS,Fewer than three numerical external reference compounds
MOOD_STABILIZERS__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS,4.0,30.0,3.0,2.0,0.999999999999999,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Lamotrigine; Valproate",PASS,
MOOD_STABILIZERS__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS,4.0,8.0,2.0,2.0,1.0,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Lamotrigine; Valproate",PASS,
MOOD_STABILIZERS__RMS_PCOA,pairwise_rms,PCOA,PASS,3.0,,2.0,2.0,1.0,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Valproate",PASS,
MOOD_STABILIZERS__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,3.0,,,2.0,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,20260813.0,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Valproate",PASS,
MOOD_STABILIZERS__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,3.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Valproate",PASS,
PSYCHEDELIC_SEROTONERGIC__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,5.0,594.0,4.0,2.0,0.9991020292650156,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Lysergide (LSD); Psilocin; Psilocybin",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
PSYCHEDELIC_SEROTONERGIC__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION,PASS_WITH_LIMITATION,3.0,72.0,2.0,2.0,1.0,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,Lysergide (LSD); Psilocin; Psilocybin,PASS,At least one query projection was not estimable
PSYCHEDELIC_SEROTONERGIC__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS_WITH_LIMITATION,5.0,33.0,4.0,2.0,0.9993018187891956,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Lysergide (LSD); Psilocin; Psilocybin",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
PSYCHEDELIC_SEROTONERGIC__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS,5.0,6.0,2.0,2.0,1.0,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Lysergide (LSD); Psilocin; Psilocybin",PASS,
PSYCHEDELIC_SEROTONERGIC__RMS_PCOA,pairwise_rms,PCOA,PASS,4.0,,2.0,2.0,1.0,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Lysergide (LSD); Psilocin; Psilocybin",PASS,
PSYCHEDELIC_SEROTONERGIC__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,4.0,,,2.0,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,20260813.0,True,True,"Ketamine, pooled parent; Lysergide (LSD); Psilocin; Psilocybin",PASS,
PSYCHEDELIC_SEROTONERGIC__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,4.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Lysergide (LSD); Psilocin; Psilocybin",PASS,
RAPID_ACTING_ANTIDEPRESSANT_CONTEXT__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS,4.0,450.0,3.0,2.0,1.0,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Scopolamine",PASS,
RAPID_ACTING_ANTIDEPRESSANT_CONTEXT__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_PCA,NOT_ESTIMABLE,4.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Scopolamine",PASS,Fewer than three numerical external reference compounds
RAPID_ACTING_ANTIDEPRESSANT_CONTEXT__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS,4.0,25.0,3.0,2.0,1.0,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Scopolamine",PASS,
RAPID_ACTING_ANTIDEPRESSANT_CONTEXT__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS,4.0,5.0,2.0,2.0,1.0,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Scopolamine",PASS,
RAPID_ACTING_ANTIDEPRESSANT_CONTEXT__RMS_PCOA,pairwise_rms,PCOA,PASS,3.0,,2.0,2.0,1.0,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Scopolamine",PASS,
RAPID_ACTING_ANTIDEPRESSANT_CONTEXT__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,3.0,,,2.0,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,20260813.0,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Scopolamine",PASS,
RAPID_ACTING_ANTIDEPRESSANT_CONTEXT__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,3.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Scopolamine",PASS,
SEROTONERGIC_PSYCHOACTIVE_CONTEXT__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,11.0,702.0,10.0,2.0,0.9830568563697518,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Clozapine; Lysergide (LSD); Mirtazapine; Olanzapine; Psilocin; Psilocybin; Risperidone; Ziprasidone",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
SEROTONERGIC_PSYCHOACTIVE_CONTEXT__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION,PASS_WITH_LIMITATION,9.0,414.0,8.0,2.0,0.974757107290588,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,Chlorpromazine; Clozapine; Lysergide (LSD); Mirtazapine; Olanzapine; Psilocin; Psilocybin; Risperidone; Ziprasidone,PASS,EM-SVD did not meet convergence tolerance; point estimate retained
SEROTONERGIC_PSYCHOACTIVE_CONTEXT__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS_WITH_LIMITATION,11.0,39.0,10.0,2.0,0.9843393696796292,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Clozapine; Lysergide (LSD); Mirtazapine; Olanzapine; Psilocin; Psilocybin; Risperidone; Ziprasidone",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
SEROTONERGIC_PSYCHOACTIVE_CONTEXT__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS_WITH_LIMITATION,11.0,14.0,10.0,2.0,0.904475674008178,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Clozapine; Lysergide (LSD); Mirtazapine; Olanzapine; Psilocin; Psilocybin; Risperidone; Ziprasidone",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
SEROTONERGIC_PSYCHOACTIVE_CONTEXT__RMS_PCOA,pairwise_rms,PCOA,PASS,10.0,,6.0,2.0,0.891453499118307,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Chlorpromazine; Clozapine; Lysergide (LSD); Mirtazapine; Olanzapine; Psilocin; Psilocybin; Risperidone; Ziprasidone",PASS,
SEROTONERGIC_PSYCHOACTIVE_CONTEXT__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,10.0,,,2.0,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,20260813.0,True,True,"Ketamine, pooled parent; Chlorpromazine; Clozapine; Lysergide (LSD); Mirtazapine; Olanzapine; Psilocin; Psilocybin; Risperidone; Ziprasidone",PASS,
SEROTONERGIC_PSYCHOACTIVE_CONTEXT__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,10.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Chlorpromazine; Clozapine; Lysergide (LSD); Mirtazapine; Olanzapine; Psilocin; Psilocybin; Risperidone; Ziprasidone",PASS,
TYPICAL_ANTIPSYCHOTICS__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,4.0,684.0,3.0,2.0,0.994171794432608,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Haloperidol",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
TYPICAL_ANTIPSYCHOTICS__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_PCA,NOT_ESTIMABLE,4.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Haloperidol",PASS,Fewer than three numerical external reference compounds
TYPICAL_ANTIPSYCHOTICS__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS_WITH_LIMITATION,4.0,38.0,3.0,2.0,0.9935502432848624,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Haloperidol",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
TYPICAL_ANTIPSYCHOTICS__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS_WITH_LIMITATION,4.0,11.0,3.0,2.0,0.998754990351224,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Haloperidol",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
TYPICAL_ANTIPSYCHOTICS__RMS_PCOA,pairwise_rms,PCOA,PASS,4.0,,3.0,2.0,0.991995627032834,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Haloperidol",PASS,
TYPICAL_ANTIPSYCHOTICS__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,4.0,,,2.0,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,20260813.0,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Haloperidol",PASS,
TYPICAL_ANTIPSYCHOTICS__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,4.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Haloperidol",PASS,
GLOBAL_FIXED_REFERENCE_AXIS_EQUALITY,strict18_common_rhr,INDEPENDENT_LOADING_READBACK,PASS,25.0,468.0,,2.0,,FROZEN_EXTERNAL_REFERENCE_ONLY,,True,True,25 external reference compounds only,PASS,maximum absolute loading delta versus accepted source run=1.0824674490095276e-15
